"Order ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name","Segment","Country","City","State","Postal Code","Region","Product ID","Category","Sub-Category","Product Name","Sales","Quantity","Discount","Profit"
"CA-2019-103800","2019-01-03","2019-01-07","Standard Class","DP-13000","Darren Powers","Consumer","United States","Houston","Texas","77095","Central","OFF-PA-10000174","Office Supplies","Paper","Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book","16.448","2","0.2","5.5512"
"CA-2019-112326","2019-01-04","2019-01-08","Standard Class","PO-19195","Phillina Ober","Home Office","United States","Naperville","Illinois","60540","Central","OFF-LA-10003223","Office Supplies","Labels","Avery 508","11.784","3","0.2","4.2717"
"CA-2019-112326","2019-01-04","2019-01-08","Standard Class","PO-19195","Phillina Ober","Home Office","United States","Naperville","Illinois","60540","Central","OFF-ST-10002743","Office Supplies","Storage","SAFCO Boltless Steel Shelving","272.736","3","0.2","-64.7748"
"CA-2019-112326","2019-01-04","2019-01-08","Standard Class","PO-19195","Phillina Ober","Home Office","United States","Naperville","Illinois","60540","Central","OFF-BI-10004094","Office Supplies","Binders","GBC Standard Plastic Binding Systems Combs","3.54","2","0.8","-5.487"
"CA-2019-141817","2019-01-05","2019-01-12","Standard Class","MB-18085","Mick Brown","Consumer","United States","Philadelphia","Pennsylvania","19143","East","OFF-AR-10003478","Office Supplies","Art","Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack","19.536","3","0.2","4.884"
"CA-2019-167199","2019-01-06","2019-01-10","Standard Class","ME-17320","Maria Etezadi","Home Office","United States","Henderson","Kentucky","42420","South","OFF-AR-10001662","Office Supplies","Art","Rogers Handheld Barrel Pencil Sharpener","5.48","2","0.0","1.4796"
"CA-2019-167199","2019-01-06","2019-01-10","Standard Class","ME-17320","Maria Etezadi","Home Office","United States","Henderson","Kentucky","42420","South","FUR-CH-10004063","Furniture","Chairs","Global Deluxe High-Back Manager's Chair","2573.82","9","0.0","746.4078"
"CA-2019-167199","2019-01-06","2019-01-10","Standard Class","ME-17320","Maria Etezadi","Home Office","United States","Henderson","Kentucky","42420","South","OFF-BI-10004632","Office Supplies","Binders","Ibico Hi-Tech Manual Binding System","609.98","2","0.0","274.491"
"CA-2019-106054","2019-01-06","2019-01-07","First Class","JO-15145","Jack O'Briant","Corporate","United States","Athens","Georgia","30605","South","OFF-AR-10002399","Office Supplies","Art","Dixon Prang Watercolor Pencils, 10-Color Set with Brush","12.78","3","0.0","5.2398"
"CA-2019-167199","2019-01-06","2019-01-10","Standard Class","ME-17320","Maria Etezadi","Home Office","United States","Henderson","Kentucky","42420","South","TEC-PH-10004977","Technology","Phones","GE 30524EE4","391.98","2","0.0","113.6742"
"CA-2019-167199","2019-01-06","2019-01-10","Standard Class","ME-17320","Maria Etezadi","Home Office","United States","Henderson","Kentucky","42420","South","TEC-PH-10004539","Technology","Phones","Wireless Extenders zBoost YX545 SOHO Signal Booster","755.96","4","0.0","204.1092"
"CA-2019-167199","2019-01-06","2019-01-10","Standard Class","ME-17320","Maria Etezadi","Home Office","United States","Henderson","Kentucky","42420","South","OFF-FA-10001883","Office Supplies","Fasteners","Alliance Super-Size Bands, Assorted Sizes","31.12","4","0.0","0.3112"
